timestamp,fitness_discipline,title,duration,instructor,calories,distance
2020-08-25 23:19:38+00:00,running,34 min 5 sec Just Run,2045,JUST RIDE,308,3.25
2020-08-24 20:28:47+00:00,running,60 min 26 sec Just Run,3626,JUST RIDE,506,5.34
2020-08-22 18:29:42+00:00,running,30 min Endurance Run,1800,Selena Samuela,308,3.25
2020-08-20 23:15:12+00:00,running,20 min HIIT Run,1200,Chase Tucker,180,1.74
2020-08-20 21:55:22+00:00,running,26 min 18 sec Just Run,1578,JUST RIDE,229,2.42
2020-08-19 21:27:46+00:00,running,46 min 46 sec Just Run,2806,JUST RIDE,383,4.04
2020-08-19 01:56:51+00:00,running,35 min 25 sec Just Run,2125,JUST RIDE,230,2.43
2020-08-17 20:02:59+00:00,running,75 min 41 sec Just Run,4541,JUST RIDE,617,6.52
2020-08-16 22:53:31+00:00,running,30 min HIIT Run,1800,Rebecca Kennedy,296,3.0
2020-08-12 00:25:43+00:00,running,30 min House Run,1800,Selena Samuela,314,3.32
2020-08-06 21:18:04+00:00,running,5 min Basics: Striders,300,Becs Gentry,5,0.06
2020-08-06 20:37:39+00:00,running,30 min Pop Run,1800,Selena Samuela,329,3.48
2020-08-04 23:43:11+00:00,running,10 min Extra Mile,600,Selena Samuela,114,1.2
2020-08-04 23:03:20+00:00,running,20 min HIIT Run,1200,Robin Arzón,210,2.16
2020-08-04 00:47:10+00:00,running,30 min Intervals Run,1800,Selena Samuela,305,3.52
2019-12-15 20:48:45+00:00,running,10 min Warm Up Run,600,Oliver Lee,14,0.15
2019-12-15 17:18:53+00:00,cycling,30 min Low Impact Ride,1800,Christine D'Ercole,154,6.8
2019-08-16 03:45:42+00:00,walking,20 min R&B Fun Walk,1200,Chase Tucker,120,1.15
2018-05-10 19:25:23+00:00,cycling,30 min Low Impact Ride,1800,Christine D'Ercole,133,6.35
2018-01-05 22:21:48+00:00,cycling,20 min Beginner Ride,1200,Christine D'Ercole,75,3.85
2017-12-31 21:43:27+00:00,cycling,30 min Advanced Beginner Ride,1800,Christine D'Ercole,122,6.02
2017-12-28 23:38:11+00:00,cycling,30 min Intervals & Arms Ride,1800,Christine D'Ercole,106,5.21
2017-11-26 00:00:32+00:00,cycling,30 min Intervals & Arms Ride,1800,Cody Rigsby,128,6.02
